%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1406123640554625034,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640564610004,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640574774980,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640584728956,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640594793081,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640604784011,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640614608049,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640624910116,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640634717941,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640645131111,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640655071020,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640664797067,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640674861907,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640684588909,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640694848060,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640704634904,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640715404987,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640725140094,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640734570980,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640744601011,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640754559993,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640764565944,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640774630069,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640784667968,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640794575929,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640804944038,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640814891099,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640825138092,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640834716081,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640844964981,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640854830980,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640864702939,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640874871969,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640884579896,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640895040035,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640904805898,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640915150880,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640925095081,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640934576988,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640944516897,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640954607009,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640964596033,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640974704980,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640985018968,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640995096921,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641005070924,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641014856100,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641024831056,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641034917116,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641044642925,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641054718971,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641064740896,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641074718952,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641084994077,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641094547986,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641104949951,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641114860057,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641124526023,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641134613037,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641144418954,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641154577970,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641164589881,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641174812078,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641184535026,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641194735050,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641204598903,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641214761972,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641225020885,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641234828948,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641244784116,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641254709959,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641264749050,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641274812936,0.0,0.0,0.0,1.0,1.0,19.7205200573
