%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1405689228184422786,1466,1405689228184422786,ardrone_base_link,0.0651962558819,0.00959470982866,-0.00386217977697,0.997818857975,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00322350859642,-0.00350905582309,-0.00266995141283,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.185980800912,-0.2688392248,9.76445070505,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689228185014581,1467,1405689228185014581,ardrone_base_link,0.0651963396081,0.00959414089035,-0.00387088728619,0.997818824233,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00646458566189,-0.0040108859539,-0.00240860600024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.186099177599,-0.290932732075,9.757493186,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689228186094605,1468,1405689228186094605,ardrone_base_link,0.0651877163396,0.00959360578743,-0.00387951134075,0.997819359282,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00510623306036,-0.00279545783997,-0.00335723860189,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.186627409607,-0.312241704017,9.75349543095,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689228188260478,1469,1405689228188260478,ardrone_base_link,0.0651878228085,0.00960174395408,-0.00388878712745,0.997819237941,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00205675512552,-0.00274744257331,-0.00359086692333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.186969196051,-0.305606713519,9.75544524193,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689228188643235,1470,1405689228188643235,ardrone_base_link,0.0651790930592,0.00959307085196,-0.00388813514514,0.997819894182,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00217058882117,-0.00605407357216,-0.00144033879042,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.187796080485,-0.30118245557,9.75511754751,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689228189297920,1471,1405689228189297920,ardrone_base_link,0.0651790930592,0.00959307085196,-0.00388813514514,0.997819894182,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00150275230408,-0.0051891580224,-0.00445802556351,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.188755670935,-0.301432552561,9.75515084267,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689228190808859,1472,1405689228190808859,ardrone_base_link,0.0651705264134,0.00958325927429,-0.00390489851379,0.99782048255,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00603214651346,-0.0060160830617,-0.00401876401156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.189571694285,-0.300253969803,9.75499312878,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689228191310851,1473,1405689228191310851,ardrone_base_link,0.0651619030329,0.00958272471036,-0.00391352241826,0.997821017078,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00516025722027,-0.00459684431553,-0.00477099791169,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.190261053666,-0.300388829783,9.75512981415,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689228191992437,1474,1405689228191992437,ardrone_base_link,0.0651533632625,0.00958162171672,-0.0039308541243,0.99782151719,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00531471148133,-0.00442757084966,-0.00508265569806,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.191663447767,-0.300207495317,9.73169353008,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689228194177719,1475,1405689228194177719,ardrone_base_link,0.0651446562465,0.00958165601708,-0.0039307705147,0.997822085681,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00136745348573,-0.0052163079381,-0.00367641169578,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.192831844836,-0.300510309637,9.70877010822,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
